Time	Response
0.000	3.083441
0.300	9.995174
0.600	18.606348
0.900	25.351885
1.201	40.419434
1.501	45.959576
1.801	53.009079
2.101	54.124517
2.401	54.232935
2.701	69.069913
3.002	59.165795
3.302	75.822250
3.602	87.181115
3.902	88.182251
4.202	87.436309
4.502	94.978786
4.802	92.671279
5.103	92.139797
5.403	91.167181
5.703	97.096612
6.003	97.984340
6.303	102.806473
6.603	105.409793
6.903	105.432272
7.204	102.297403
7.504	114.022145
7.804	106.957273
8.104	110.169251
8.404	111.140982
8.704	108.275680
9.005	108.094719
9.305	111.287809
9.605	108.760368
9.905	111.951030
10.205	110.453473
10.505	110.758037
10.805	114.982236
11.106	117.131105
11.406	117.496051
11.706	118.882427
12.006	118.819779
12.306	119.014175
12.606	110.941819
12.906	111.971528
13.207	118.180306
13.507	119.243497
13.807	117.737877
14.107	117.272798
14.407	117.092228
14.707	112.234789
15.008	116.508179
15.308	118.446723
15.608	112.876784
15.908	114.256161
16.208	114.778812
16.508	123.689758
16.808	118.168928
17.109	118.514762
17.409	121.320847
17.709	117.093858
18.009	119.978633
18.309	114.457011
18.609	118.380737
18.909	113.695094
19.210	119.891419
19.510	118.289322
19.810	121.208039
20.110	120.750318
20.410	118.768398
20.710	121.303526
21.011	123.801459
21.311	126.258667
21.611	122.027829
21.911	118.692168
22.211	124.081664
22.511	116.687372
22.811	115.566209
23.112	122.079744
23.412	120.560138
23.712	116.382447
24.012	123.903827
24.312	116.367979
24.612	111.811203
24.912	118.701213
25.213	126.675738
25.513	121.690994
25.813	115.895537
26.113	122.576421
26.413	125.897790
26.713	119.099115
27.014	119.329031
27.314	114.807306
27.614	117.434986
27.914	119.684209
28.214	120.438199
28.514	116.495382
28.814	119.314911
29.115	118.089951
29.415	120.171134
29.715	115.124397
30.015	120.535432
30.315	115.237117
30.615	114.038451
30.915	118.220679
31.216	123.282670
31.516	118.089800
31.816	121.389764
32.116	124.097411
32.416	123.255952
32.716	123.586842
33.017	115.563032
33.317	124.710472
33.617	117.006543
33.917	118.730941
34.217	116.529913
34.517	130.286204
34.817	112.299482
35.118	111.849130
35.418	116.946813
35.718	116.805247
36.018	123.297145
36.318	117.912153
36.618	118.274083
36.918	116.539500
37.219	124.902066
37.519	115.445304
37.819	118.358596
38.119	119.993828
38.419	115.952579
38.719	123.542078
39.020	113.687587
39.320	117.986547
39.620	115.877600
39.920	113.289689
40.220	114.784039
40.520	121.124537
40.820	114.184809
41.121	116.029286
41.421	117.021558
41.721	115.834453
42.021	117.626356
42.321	117.941277
42.621	117.170023
42.921	109.369375
43.222	120.602952
43.522	118.255378
43.822	119.009955
44.122	117.015339
44.422	116.014670
44.722	120.804172
45.023	122.912041
45.323	120.511659
45.623	116.192650
45.923	120.562029
46.223	113.389644
46.523	119.635407
46.823	116.376467
47.124	115.975296
47.424	117.078084
47.724	112.786073
48.024	113.716371
48.324	118.327139
48.624	123.670243
48.924	112.623874
49.225	115.663988
49.525	113.668384
49.825	117.107783
50.125	122.241216
50.425	123.653533
50.725	124.472753
51.026	125.430794
51.326	118.732121
51.626	123.350199
51.926	116.082724
52.226	120.476628
52.526	123.211142
52.826	119.796303
53.127	125.511769
53.427	118.557921
53.727	119.022015
54.027	124.908191
54.327	117.402736
54.627	118.236437
54.927	114.250608
55.228	119.570280
55.528	118.554432
55.828	115.627016
56.128	124.880078
56.428	115.321281
56.728	113.865464
57.029	124.874238
57.329	119.784257
57.629	114.701659
57.929	115.791231
58.229	114.225285
58.529	118.354076
58.829	118.363548
59.130	116.696173
59.430	122.014053
59.730	123.406554
60.030	118.209983
60.330	115.618406
60.630	123.584614
60.930	123.226928
61.231	121.503252
61.531	113.520645
61.831	118.240640
62.131	112.652400
62.431	114.172595
62.731	121.506333
63.032	121.178702
63.332	118.386297
63.632	124.811906
63.932	124.890097
64.232	119.748449
64.532	119.227597
64.832	124.629432
65.133	119.532635
65.433	117.461711
65.733	120.670846
66.033	117.410518
66.333	118.186953
66.633	120.717254
66.933	119.523260
67.234	118.968062
67.534	116.608939
67.834	122.254810
68.134	115.699255
68.434	118.005503
68.734	116.634255
69.035	119.023224
69.335	121.411078
69.635	121.220015
69.935	124.210977
70.235	118.648917
70.535	118.286018
70.835	118.261568
71.136	111.982311
71.436	121.304113
71.736	124.890845
72.036	122.656047
72.336	121.488604
72.636	123.627979
72.936	119.714769
73.237	118.491894
73.537	120.523885
73.837	124.337677
74.137	123.667221
74.437	118.169355
74.737	115.825293
75.038	122.435878
75.338	121.981735
75.638	118.743546
75.938	124.192757
76.238	120.962798
76.538	123.082277
76.838	121.041683
77.139	119.254368
77.439	117.999445
77.739	119.721299
78.039	116.758223
78.339	120.792336
78.639	114.549862
78.939	119.414857
79.240	120.922082
79.540	104.276119
79.840	122.301056
80.140	123.880693
80.440	122.161380
80.740	114.268930
81.041	122.321365
81.341	116.050489
81.641	119.057290
81.941	121.283763
82.241	119.264638
82.541	124.882816
82.841	118.816628
83.142	116.530757
83.442	120.543518
83.742	121.288241
84.042	118.286928
84.342	118.874497
84.642	118.222671
84.942	116.339963
85.243	115.548780
85.543	123.006385
85.843	121.323910
86.143	119.912750
86.443	124.095777
86.743	122.418827
87.044	125.951281
87.344	123.225742
87.644	122.602520
87.944	114.922193
88.244	122.947159
88.544	118.260571
88.844	117.970617
89.145	122.090404
89.445	117.985907
89.745	124.998901
90.045	121.260004
90.345	114.836825
90.645	116.084180
90.945	110.625742
91.246	124.959771
91.546	122.885292
91.846	122.034823
92.146	125.328192
92.446	119.908677
92.746	118.222015
93.047	120.088649
93.347	121.139671
93.647	115.008572
93.947	120.953085
94.247	120.012082
94.547	120.579327
94.847	122.382297
95.148	120.148642
95.448	122.239207
95.748	116.715061
96.048	119.222559
96.348	118.727286
96.648	122.848799
96.948	122.397303
97.249	125.262966
97.549	118.196207
97.849	115.348744
98.149	125.110008
98.449	116.990415
98.749	122.111763
99.050	120.534435
99.350	112.739005
99.650	118.156434
99.950	113.683011
100.250	120.184347
100.550	120.184941
100.850	124.312011
101.151	117.076021
101.451	116.782616
101.751	117.575839
102.051	120.264171
102.351	121.560830
102.651	113.311712
102.951	117.603607
103.252	123.285942
103.552	123.217850
103.852	120.923416
104.152	121.072296
104.452	117.948491
104.752	119.053681
105.053	122.101725
105.353	122.506701
105.653	119.774172
105.953	116.490363
106.253	118.720620
106.553	119.327720
106.853	122.498154
107.154	117.697652
107.454	117.838104
107.754	122.029564
108.054	120.246208
108.354	123.197461
108.654	122.428684
108.954	118.882582
109.255	112.662467
109.555	111.982283
109.855	125.276974
110.155	116.865403
110.455	118.583885
110.755	119.060264
111.056	120.308833
111.356	120.140809
111.656	121.753425
111.956	118.774610
112.256	118.381953
112.556	122.767234
112.856	117.852511
113.157	117.516827
113.457	119.550956
113.757	121.140562
114.057	122.241919
114.357	117.129353
114.657	116.565360
114.957	122.707245
115.258	113.080279
115.558	116.357451
115.858	113.937402
116.158	124.170953
116.458	115.998928
116.758	117.325472
117.059	111.510346
117.359	122.016632
117.659	113.189949
117.959	117.551569
118.259	115.862633
118.559	116.816034
118.859	116.903770
119.160	124.445911
119.460	125.869772
119.760	120.440866
120.060	120.485779
120.360	118.077421
120.660	122.140906
120.960	121.691414
121.261	116.574126
121.561	117.166882
121.861	117.378400
122.161	114.586790
122.461	123.951023
122.761	123.428912
123.062	122.063709
123.362	120.116199
123.662	118.536588
123.962	115.148346
124.262	120.083655
124.562	116.717879
124.862	114.195799
125.163	122.347231
125.463	123.825085
125.763	116.629134
126.063	121.306721
126.363	119.861341
126.663	118.978043
126.963	117.123883
127.264	122.959802
127.564	119.656108
127.864	120.246485
128.164	118.740191
128.464	120.299283
128.764	122.549360
129.065	122.252331
129.365	124.070685
129.665	114.760704
129.965	118.714007
130.265	118.489686
130.565	116.446734
130.865	121.312512
131.166	114.340219
131.466	121.957400
131.766	123.110329
132.066	120.558592
132.366	114.655287
132.666	118.051208
132.966	114.808603
133.267	123.813065
133.567	123.011029
133.867	119.295509
134.167	115.684800
134.467	120.988950
134.767	125.245284
135.068	123.319930
135.368	121.426776
135.668	117.356382
135.968	119.768667
136.268	123.369918
136.568	121.693473
136.868	125.600957
137.169	121.565543
137.469	118.319054
137.769	119.344914
138.069	116.041367
138.369	129.691720
138.669	116.992606
138.969	119.486717
139.270	118.694485
139.570	123.454344
139.870	114.754342
140.170	122.504179
140.470	122.178504
140.770	126.750984
141.071	117.521514
141.371	123.537684
141.671	123.255952
141.971	111.920616
142.271	120.980411
142.571	120.161808
142.871	123.982479
143.172	116.170997
143.472	120.887959
143.772	119.464759
144.072	128.011808
144.372	115.291336
144.672	119.814221
144.972	121.045738
145.273	117.248171
145.573	124.927771
145.873	117.398457
146.173	119.053925
146.473	125.546834
146.773	125.196774
147.074	116.516415
147.374	116.240486
147.674	122.209794
147.974	116.761973
148.274	118.006500
148.574	117.156286
148.874	115.904766
149.175	119.658279
149.475	121.947657
149.775	127.190252
150.075	120.168095
150.375	124.254768
150.675	120.955669
150.975	114.932632
151.276	123.465035
151.576	114.742438
151.876	120.651191
152.176	113.586516
152.476	116.591765
152.776	118.681707
153.077	119.113359
153.377	125.646975
153.677	120.879206
153.977	120.766014
154.277	121.331917
154.577	121.610539
154.877	114.310661
155.178	124.056637
155.478	116.340593
155.778	123.413175
156.078	117.639572
156.378	123.901307
156.678	115.826742
156.978	117.191171
157.279	116.504947
157.579	122.570683
157.879	126.703021
158.179	117.417622
158.479	118.187241
158.779	118.786859
159.080	124.340772
159.380	120.422978
159.680	118.548376
159.980	116.719082
160.280	117.930104
160.580	122.566680
160.880	119.183498
161.181	115.344746
161.481	114.672530
161.781	115.902135
162.081	115.034495
162.381	116.912125
162.681	124.721033
162.981	117.747975
163.282	123.070323
163.582	118.115855
163.882	117.258411
164.182	121.330170
164.482	116.279653
164.782	116.959026
165.083	118.586106
165.383	120.568263
165.683	121.589513
165.983	121.405070
166.283	121.276174
166.583	116.421421
166.883	115.305266
167.184	121.825171
167.484	113.585265
167.784	123.029517
168.084	118.964008
168.384	125.063588
168.684	122.405239
168.984	122.371073
169.285	117.551339
169.585	117.293209
169.885	116.883435
170.185	119.968196
170.485	120.390698
170.785	121.421340
171.086	118.323068
171.386	123.641174
171.686	120.232337
171.986	119.186187
172.286	121.217489
172.586	119.191205
172.886	116.557806
173.187	112.315358
173.487	119.694270
173.787	122.557452
174.087	116.677246
174.387	121.825460
174.687	120.120022
174.987	118.893765
175.288	120.816737
175.588	118.606118
175.888	116.319700
176.188	119.604529
176.488	110.661228
176.788	122.039655
177.089	120.406406
177.389	122.096817
177.689	114.755733
177.989	120.810953
178.289	117.333700
178.589	113.622594
178.889	115.610458
179.190	116.569956
179.490	120.243470
179.790	114.845071
180.090	122.394538
180.390	124.636484
180.690	122.515466
180.990	119.357958
181.291	110.630202
181.591	120.793006
181.891	117.235448
182.191	119.008264
182.491	122.027143
182.791	124.108843
183.092	115.553062
183.392	113.205867
183.692	115.482851
183.992	120.311812
184.292	117.716126
184.592	117.051364
184.892	120.538754
185.193	116.660458
185.493	117.056382
185.793	119.381040
186.093	119.092456
186.393	118.885254
186.693	125.024600
186.993	119.524290
187.294	120.735267
187.594	117.996011
187.894	122.412505
188.194	126.861748
188.494	117.812190
188.794	121.746932
