# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T10:53:15.226934
# Cycle Start,0.000 s
# Cycle Stop,40.101 s
# Duration,40.101 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
0.0000,689.8510,0.0000,661.2283,0.0000,678.5235,0.0000,676.0505,0.0000
1.2619,634.1192,-55731.7948,668.8479,7619.6132,689.9269,11403.3997,659.1078,-16942.7050
2.5212,676.5451,-13305.8947,662.2825,1054.2474,633.2025,-45320.9567,669.1100,-6940.4818
3.7781,674.2943,-15556.7005,663.2208,1992.5390,689.9269,11403.3997,677.7400,1689.4861
4.9457,670.7833,-19067.7070,687.3941,26165.8220,677.8822,-641.2648,683.9453,7894.8517
6.0709,617.6892,-72161.7782,649.1874,-12040.8840,681.7463,3222.8166,675.5136,-536.9138
7.1506,671.3927,-18458.2820,678.8476,17619.2989,658.1669,-20356.5313,649.7313,-26319.1354
8.2311,678.1288,-11722.1855,681.0332,19804.9473,689.9269,11403.3997,687.9296,11879.1732
9.3124,667.0592,-22791.7972,668.1070,6878.7226,689.9269,11403.3997,683.0143,6963.8510
10.5109,648.6699,-41181.1096,673.4332,12204.9322,637.7771,-40746.3713,676.1135,63.0286
11.8206,687.4466,-2404.4385,668.8397,7611.4175,668.4786,-10044.9031,672.1888,-3861.6461
13.0692,668.2566,-21594.3812,688.1020,26873.6954,654.2046,-24318.8577,664.1493,-11901.1503
14.2164,676.4954,-13355.6284,643.3248,-17903.4621,671.0794,-7444.0147,677.9934,1942.9398
15.2966,685.3888,-4462.2352,670.5648,9336.4786,623.7143,-54809.1319,651.3975,-24653.0034
16.3762,673.5046,-16346.3800,673.3293,12100.9996,635.6744,-42849.0950,683.3227,7272.2769
17.5011,678.9992,-10851.8305,676.4750,15246.7439,683.1787,4655.2574,626.6559,-49394.5668
18.6537,683.9127,-5938.2897,649.5406,-11687.6683,642.8433,-35680.1210,678.4077,2357.2467
19.7784,674.5540,-15296.9576,660.4191,-809.2037,650.9703,-27553.1223,680.8534,4802.9229
20.8754,612.7951,-77055.9447,670.9780,9749.6883,672.2444,-6279.0388,645.7704,-30280.0758
22.0006,677.9542,-11896.8424,682.0686,20840.3643,673.0918,-5431.6118,671.6444,-4406.0928
23.1278,668.3872,-21463.8214,662.8525,1624.2608,660.8318,-17691.7009,683.4773,7426.8432
24.3416,660.2050,-29646.0260,675.1922,13963.9414,667.5386,-10984.9048,684.4289,8378.4045
25.7533,682.7591,-7091.9385,683.3438,22115.4915,647.4823,-31041.1685,681.2021,5151.6199
26.9057,689.9269,75.8587,680.5462,19317.8831,669.8028,-8720.7024,676.9324,881.9388
28.0307,679.4327,-10418.2730,681.7096,20481.2739,654.0978,-24425.7054,680.9881,4937.6039
29.1107,689.3957,-455.3144,674.4925,13264.2488,679.4831,959.6799,680.7088,4658.2900
30.3714,682.3631,-7487.9242,672.2797,11051.4513,653.1616,-25361.8824,677.2283,1177.7950
31.6567,680.0994,-9751.6011,677.7586,16530.3406,665.7642,-12759.2468,676.0890,38.4949
33.0280,643.3528,-46498.1884,679.3894,18161.1213,670.7778,-7745.6645,682.7327,6682.2091
34.1984,673.9219,-15929.0598,669.2504,8022.1465,669.2167,-9306.7434,673.1891,-2861.3759
35.3699,675.2643,-14586.6907,672.6225,11394.1958,681.7976,3274.1445,679.1058,3055.3259
36.6894,687.9520,-1898.9742,650.3924,-10835.8686,679.9558,1432.3557,689.8510,13800.5245
37.9529,689.8510,0.0000,674.8559,13627.6600,687.0979,8574.4655,663.8398,-12210.6341
39.1905,641.1764,-48674.6054,678.7363,17508.0108,676.1210,-2402.5046,655.7823,-20268.1340
