# AffiLabs Cycle Autosave
# Timestamp,2025-11-26T08:35:36.009755
# Cycle Start,0.000 s
# Cycle Stop,105.982 s
# Duration,105.982 s
# Filter Enabled,True
# Filter Strength,1
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
0.0000,597.1919,0.0000,597.7378,0.0000,615.9257,0.0000,617.8227,0.0000
0.7987,596.8804,-311.5005,597.7378,0.0000,616.3960,470.2586,617.3194,-503.2735
1.5687,596.4613,-730.5482,597.5041,-233.6262,616.8289,903.1924,617.3194,-503.2735
2.2976,596.4613,-730.5482,596.9113,-826.4242,616.3960,470.2586,617.1455,-677.1837
3.0240,596.9776,-214.2306,596.9113,-826.4242,607.7675,-8158.2381,617.5013,-321.4530
3.7512,596.9776,-214.2306,599.5508,1813.0341,598.8372,-17088.5580,617.5013,-321.4530
4.4824,596.1165,-1075.3496,599.5508,1813.0341,598.8372,-17088.5580,617.5566,-266.1273
5.2666,596.1165,-1075.3496,598.7997,1061.9499,610.5593,-5366.3673,617.6514,-171.2735
5.9925,596.7696,-422.2816,598.2251,487.2868,618.6481,2722.4167,617.6514,-171.2735
6.7200,597.9907,798.8437,598.2251,487.2868,618.6481,2722.4167,617.1139,-708.7787
7.4493,598.3074,1115.4993,600.3129,2575.1266,615.1141,-811.6492,616.8610,-961.7223
8.1777,598.3074,1115.4993,602.6993,4961.4864,611.4699,-4455.7689,616.8610,-961.7223
9.3323,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
9.3323,596.2349,-956.9874,602.6993,4961.4864,610.9106,-5015.1256,617.6824,-140.3053
10.2322,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
10.2322,596.8726,-319.3164,597.4316,-306.1700,607.8436,-8082.1020,617.7100,-112.6843
11.3536,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
11.3536,596.8726,-319.3164,595.0831,-2654.6505,607.2329,-8692.7741,616.7661,-1056.5761
12.2088,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
12.2088,597.1084,-83.5172,598.8201,1082.3737,599.5408,-16384.8659,616.1143,-1708.4530
13.1597,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
13.1597,598.3074,1115.4993,598.8558,1118.0326,607.2329,-8692.7741,616.1312,-1691.5572
14.1121,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
14.1121,598.3074,1115.4993,598.8558,1118.0326,609.9541,-5971.5818,616.7661,-1056.5761
15.2325,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
15.2325,597.1785,-13.3650,596.4832,-1254.5633,615.1463,-779.4083,617.5335,-289.1853
16.2412,598.3074,1115.4993,605.9617,8223.9815,607.2329,-8692.7741,616.7661,-1056.5761
16.2412,596.6834,-508.5006,601.3171,3579.3084,613.1298,-2795.8883,616.7661,-1056.5761
