# AffiLabs Cycle Autosave
# Timestamp,2025-11-25T21:49:12.335082
# Cycle Start,11.751 s
# Cycle Stop,36.608 s
# Duration,24.856 s
# Filter Enabled,True
# Filter Strength,1
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
11.8896,595.9316,0.0000,594.2249,0.0000,598.4194,0.0000,615.6515,0.0000
11.8896,596.9058,974.1532,595.6987,1473.8188,604.8582,6438.7617,615.6515,0.0000
12.9046,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
12.9046,596.9058,974.1532,595.8174,1592.4795,611.0693,12649.9016,615.7649,113.3944
13.8700,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
13.8700,596.0110,79.3773,595.6987,1473.8188,611.0693,12649.9016,616.5948,943.2500
15.0137,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
15.0137,595.9567,25.0733,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
16.0649,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
16.0649,595.4167,-514.9344,598.5948,4369.8688,612.1146,13695.1828,616.5948,943.2500
17.1191,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
17.1191,595.4167,-514.9344,598.7460,4521.1203,612.2820,13862.6308,616.5948,943.2500
18.3125,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
18.3125,596.5925,660.8333,595.6987,1473.8188,611.5628,13143.4057,615.5539,-97.5604
19.3961,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
19.3961,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
20.3008,596.9058,974.1532,595.6987,1473.8188,611.5628,13143.4057,616.5948,943.2500
20.3008,597.0976,1166.0097,627.0220,32797.0363,605.8171,7397.6953,615.0041,-647.3666
21.3628,597.0976,1166.0097,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
24.2194,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
24.2194,596.8270,895.3831,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
25.1162,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
25.1162,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
26.3332,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
26.3332,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
27.4662,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
27.4662,596.9463,1014.6571,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
28.5599,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
28.5599,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
29.6534,597.1567,1225.0438,706.3970,112172.0325,598.7301,310.7032,614.3966,-1254.9094
29.6534,597.2673,1335.6679,,,,,,
30.6435,597.1567,1225.0438,,,,,,
30.6435,597.2673,1335.6679,,,,,,
31.8352,597.1567,1225.0438,,,,,,
31.8352,597.1945,1262.8413,,,,,,
32.8742,597.1567,1225.0438,,,,,,
32.8742,597.1945,1262.8413,,,,,,
34.1537,597.1567,1225.0438,,,,,,
34.1537,597.1567,1225.0438,,,,,,
35.3241,597.1567,1225.0438,,,,,,
35.3241,596.9671,1035.4553,,,,,,
36.6077,595.3925,-539.1042,,,,,,
