name,points,p2p_pm,std_pm
Fourier+B5+SG3+Exp0.1,36,9.406463396999243,2.858609919251968
Fourier+B5+SG3+Exp0.1,36,10.422671000128503,3.2002045520147977
Fourier+B4+SG3+Exp0.1,45,10.641936994488788,2.8875877088877724
Fourier+B3+SG5+Exp0.1,60,11.184157720322219,3.129360883753584
Fourier+B4+SG3+Exp0.1,45,11.434145297698706,3.422385395917557
Fourier+B4+SG3+Exp0.1,45,11.646369777054133,3.0908089280486886
Adaptive+B5+SG3+Exp0.1,36,11.736261536384518,3.3966511321610224
Fourier+B5+SG3+Exp0.1,36,12.139018873654095,3.754026490007365
Fourier+B3+SG7+Exp0.1,60,12.318410963757742,3.6696873597532047
Adaptive+B4+SG3+Exp0.1,45,12.322994089913664,3.3328326260163106
Fourier+B5+SG5+Exp0.1,36,12.640283058317436,3.8575103640272443
Adaptive+B5+SG3+Exp0.1,36,13.037157745770855,3.854418009956112
Fourier+B4+SG5+Exp0.1,45,13.17402753738861,3.769765348212069
Fourier+B3+SG9+Exp0.1,60,13.18915032663881,4.02403538685069
Direct+B5+SG3+Exp0.1,36,13.428150100935454,3.9643246483671404
Adaptive+B4+SG3+Exp0.1,45,13.520880735768515,3.9577736924233906
Adaptive+B4+SG3+Exp0.1,45,13.606449186340797,3.8531653663486383
Fourier+B4+SG7+Exp0.1,45,13.79402082488923,4.235454989283608
Fourier+B5+SG3+Exp0.2,36,14.024651059116877,3.5774143360310107
Direct+B5+SG9+Exp0.1,36,14.248994883814703,4.298401303341904
Adaptive+B5+SG5+Exp0.1,36,14.371901050708402,4.265376315406904
Direct+B5+SG5+Exp0.1,36,14.56953553065432,4.399609569514526
Fourier+B3+SG3+Exp0.1,60,14.612421052333957,3.8309597487200375
Direct+B5+SG7+Exp0.1,36,14.661939534676094,4.388227636601137
Fourier+B5+SG5+Exp0.1,36,14.67156475439424,4.437059132106846
Fourier+B4+SG5+Exp0.1,45,14.739894107265172,4.039277472633779
Direct+B5+SG11+Exp0.1,36,14.848381165279534,4.370520337876685
Fourier+B5+SG5+Exp0.2,36,14.959889781039237,4.196031351037086
Fourier+B5+SG7+Exp0.1,36,15.007231394974951,4.53950147330305
Fourier+B3+SG11+Exp0.1,60,15.070304065488926,4.475452986248966
Fourier+B3+SG9+Exp0.2,60,15.361629043468383,4.234555873254554
Adaptive+B4+SG5+Exp0.1,45,15.415765466286757,4.513717518567345
Fourier+B5+SG5+Exp0.1,36,15.480180446274971,4.975850315341807
Adaptive+B4+SG7+Exp0.1,45,15.487974198208576,4.546398898007914
Fourier+B5+SG11+Exp0.1,36,15.49132006664422,4.670736040969202
Adaptive+B5+SG3+Exp0.1,36,15.504558647535305,4.805064882088435
Fourier+B3+SG3+Exp0.1,60,15.528781995726604,4.275538485123724
Adaptive+B5+SG3+Exp0.2,36,15.539635686877773,4.014654776905167
Fourier+B3+SG7+Exp0.2,60,15.566544630246426,4.063223939195326
Direct+B5+SG3+Exp0.1,36,15.732485933881435,4.754088080332561
Direct+B4+SG3+Exp0.1,45,15.737924489371835,4.851698740803586
Fourier+B4+SG9+Exp0.1,45,15.798372646713688,4.750035412024532
Adaptive+B5+SG7+Exp0.1,36,15.987316690143416,4.6490628372447995
Fourier+B3+SG5+Exp0.1,60,16.038745877494875,4.709794086272359
Fourier+B3+SG5+Exp0.2,60,16.044972473650887,3.853249335846966
Fourier+B4+SG7+Exp0.1,45,16.07222150994403,4.527100730079236
Adaptive+B5+SG11+Exp0.1,36,16.104981867670176,4.68511591305244
Fourier+B4+SG5+Exp0.1,45,16.110472619629945,4.83007737221438
Fourier+B2+SG5+Exp0.1,91,16.203447828274875,3.892415580963465
Fourier+B2+SG5+Exp0.1,91,16.203447828274875,3.892415580963465
Fourier+B5+SG9+Exp0.1,36,16.208583380830532,4.840512269735239
