name,points,peak_to_peak_pm,std_pm,mean_nm
Raw (No Processing),182,169.24742253786462,17.469455081312574,646.4908385430872
Batch Mean (n=3),60,55.249891845051025,10.299278209648273,646.4908246039216
"Weighted Mean (0.2,0.3,0.5)",60,85.20165745926533,11.807620745982213,646.490971847811
Trimmed Mean (keep middle),60,62.14937334414117,8.284654500754623,646.4913242094703
Overlapping Mean (stride=1),180,93.51067588249862,11.230319833605478,646.4908704445618
Overlapping Mean (stride=2),90,92.92860982623097,11.219681588102144,646.491177454722
Batch → Savgol(5),60,42.32263215271814,8.084929510310902,646.4908270994052
Batch → Savgol(7),60,34.242745306983124,7.102071605511845,646.490860592238
Exponential α=0.2,182,47.09224421617364,7.050569362908392,646.4907068314683
Exponential α=0.3,182,59.88030459741367,8.438533110024185,646.4907773177734
Exponential α=0.5,182,87.3503565505871,10.948151900648122,646.4908227424136
Double Exponential,182,81.22227069259225,11.100425378337157,646.4905252218209
Kalman Filter (simple),182,45.71146779562696,6.884621187489823,646.4904864867344
Kalman Filter (tight),182,35.9781534192507,6.112359932303382,646.4900014603528
"Savgol (w=11, p=2)",182,55.08933678345329,9.040007752660662,646.4908112707576
