# AffiLabs Cycle Autosave
# Timestamp,2025-11-28T01:05:30.543836
# Cycle Start,0.000 s
# Cycle Stop,100.000 s
# Duration,100.000 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
0.0000,0.2484,0.0000,0.0626,0.0000,-0.3609,0.0000,-0.4120,0.0000
0.5001,-0.0624,-310.7848,-0.2080,-270.6106,0.0951,455.9836,-0.3529,59.1174
1.0003,0.3372,88.8898,0.0746,11.9391,-0.2599,100.9313,1.0383,1450.2764
1.5004,0.7816,533.2462,0.2917,229.1251,-0.1157,245.1296,0.0204,432.3975
2.0006,-0.0903,-338.6783,0.0512,-11.4267,0.8635,1224.3503,0.4178,829.7882
2.5007,-0.0837,-332.0277,0.0537,-8.9186,0.7036,1064.4971,-0.3621,49.9159
3.0008,0.8296,581.2586,-0.3110,-373.5989,-0.6098,-248.9126,-0.3499,62.0505
3.5010,0.4303,181.9438,-0.2849,-347.4792,0.4614,822.3185,0.5876,999.5437
4.0011,-0.1816,-429.9796,-0.6482,-710.8002,0.4588,819.6817,-0.6217,-209.7057
4.5013,0.3309,82.5196,0.9344,871.7728,-0.5145,-153.6662,-0.1480,263.9575
5.0014,-0.1657,-414.0425,-0.5559,-618.5205,0.4754,836.2810,0.0830,495.0048
5.5015,-0.1605,-408.8330,-0.2741,-336.6759,0.8414,1202.2237,0.1281,540.0430
6.0017,0.1997,-48.6884,-0.2805,-343.1283,-0.4826,-121.7161,-0.0109,401.1086
6.5018,-0.8717,-1120.0839,0.5324,469.7632,-0.3738,-12.9694,0.2828,694.7909
7.0019,-0.7714,-1019.7556,-0.0564,-119.0267,0.5999,960.7599,0.4375,849.4561
7.5021,-0.1840,-432.3775,0.7210,658.3821,0.2329,593.7398,0.4644,876.4099
8.0022,-0.4033,-651.6762,-0.2336,-296.2611,0.3788,739.7033,-0.3898,22.1623
8.5024,0.2661,17.7408,0.2485,185.8590,0.2793,640.1376,-0.0331,378.8644
9.0025,-0.3393,-587.6179,-0.3029,-365.5345,0.3101,670.9680,0.7121,1124.1004
9.5026,-0.5857,-834.0866,1.1930,1130.3846,-0.5428,-181.9450,0.5677,979.7136
10.0028,0.8588,610.4494,-0.4678,-530.4294,0.6496,1010.5097,-0.5604,-148.4799
10.5029,0.0185,-229.8196,0.2863,223.7237,0.7162,1077.0894,0.3072,719.1333
11.0031,0.1705,-77.8451,0.4536,391.0241,0.0221,382.9213,-0.8524,-440.3970
11.5032,-0.5704,-818.7871,0.3488,286.2314,0.1202,481.0744,0.1654,577.3793
12.0033,-0.1252,-373.5390,0.0544,-8.2467,-0.6185,-257.6756,1.0959,1507.8607
12.5035,0.2074,-40.9565,0.0870,24.4167,0.4091,769.9355,-0.3220,89.9607
13.0036,-0.4188,-667.1245,0.1786,116.0228,0.4428,803.6268,-0.2604,151.5356
13.5038,0.3492,100.8671,0.0879,25.2619,0.1303,491.1484,0.5434,955.3578
14.0039,-0.1344,-382.8039,0.6478,585.1998,0.7280,1088.9180,-0.6055,-193.5605
14.5040,0.0244,-223.9864,1.2755,1212.8668,0.0032,364.0477,-0.1462,265.8077
15.0042,-0.1264,-374.8042,-0.1043,-166.9520,0.4567,817.5779,0.4726,884.5945
15.5043,1.1046,856.2168,-0.5065,-569.0789,-0.3314,29.4714,-0.1387,273.2596
16.0044,0.1756,-72.8059,0.1382,75.5466,0.1705,531.3925,0.0643,476.2826
16.5046,-0.3429,-591.2147,1.4759,1413.2403,0.0988,459.6895,0.5581,970.0584
17.0047,0.6008,352.4410,-0.2123,-274.9240,0.3022,663.0483,0.4003,812.2664
17.5049,-0.4175,-665.8989,1.0124,949.8261,0.0081,368.9853,0.3263,738.2569
18.0050,0.3005,52.1329,1.0349,972.2963,0.1303,491.1906,0.0265,438.4648
18.5051,-0.7808,-1029.1348,-0.0777,-140.3490,0.6121,972.9497,0.3841,796.0557
19.0053,-0.4622,-710.5751,0.4864,423.7543,-0.0165,344.3617,0.1400,551.9765
19.5054,0.3029,54.5824,1.0187,956.0949,-0.5988,-237.9109,0.4334,845.3794
20.0056,0.5762,327.8328,0.0174,-45.2196,1.0817,1442.6173,-0.0415,370.4583
20.5057,0.2949,46.5432,0.1074,44.8137,0.8999,1260.8120,0.1179,529.8994
21.0058,0.1535,-94.8954,-0.0796,-142.1669,-0.4348,-73.9767,-0.2837,128.2747
21.5060,0.0626,-185.7449,-0.2942,-356.8266,0.5580,918.8867,0.1957,607.6279
22.0061,-0.5244,-772.7689,-0.1098,-172.4019,-0.0366,324.2305,-0.1907,221.3165
22.5063,-0.1436,-391.9391,-0.3956,-458.2423,0.3481,708.9524,-0.3407,71.2846
23.0064,-0.0127,-261.0408,0.2347,172.0651,0.3647,725.6165,0.3470,758.9340
23.5065,0.7473,498.9391,-0.1663,-228.8638,0.1015,462.4000,0.3251,737.0727
24.0067,0.3914,143.0897,0.3365,273.9184,-0.1722,188.6236,0.6111,1023.0423
24.5068,-0.6612,-909.5342,-0.5576,-620.2172,-0.1249,235.9412,0.0048,416.7479
25.0069,0.3829,134.5354,0.3863,323.6784,-0.2372,123.6234,0.4249,836.8447
25.5071,0.0286,-219.7378,0.6379,575.3127,-0.1948,166.1181,0.4966,908.5270
26.0072,-0.1172,-365.5453,-0.7756,-838.2073,0.1877,548.5524,0.4437,855.6274
26.5074,0.5270,278.6689,0.4082,345.6038,-0.1367,224.1766,-0.1916,220.3287
27.0075,0.7364,488.0487,0.8347,772.1283,0.5619,922.8009,0.2956,707.5555
27.5076,0.6861,437.7111,-0.3844,-447.0046,0.9641,1324.9200,0.4025,814.4660
28.0078,-0.1999,-448.2108,1.0560,993.4290,-0.0703,290.5972,0.2233,635.3120
28.5079,0.0643,-184.0755,0.4284,365.7850,0.3386,699.4588,-0.8244,-412.3833
29.0081,0.3835,135.1023,-0.1347,-197.2905,0.4677,828.5390,0.2981,710.0402
29.5082,0.7043,455.9916,0.1887,126.0793,0.4526,813.4460,1.3228,1734.8093
30.0083,-0.0245,-272.8094,0.4943,431.6860,0.2531,613.9812,0.0351,447.0829
30.5085,0.1207,-127.6811,0.2515,188.8959,0.5848,945.7155,-0.1505,261.4347
31.0086,-0.3415,-589.8342,0.4811,418.4561,0.4528,813.6836,0.3984,810.3323
31.5088,-0.3884,-636.7689,-0.2506,-313.2576,-0.4091,-48.2710,0.3659,777.8483
32.0089,0.6138,365.4171,0.2922,229.5794,0.6421,1002.9581,0.8039,1215.8466
32.5090,0.8833,634.9153,-0.5017,-564.3172,0.6488,1009.6665,-0.4238,-11.8140
33.0092,0.1666,-81.7447,0.1470,84.3921,-0.1790,181.8431,0.5683,980.2753
33.5093,0.7017,453.3187,-0.2520,-314.6567,0.2189,579.7471,0.4951,907.0881
34.0094,0.3778,129.4923,-0.1707,-233.3459,0.5387,899.5646,0.1260,537.9258
34.5096,-0.1286,-376.9304,0.8120,749.4209,0.0893,450.1984,0.3633,775.2980
35.0097,0.3715,123.1192,0.7364,673.8213,0.7273,1088.1363,0.7055,1117.4750
35.5099,0.9564,708.0719,0.4920,429.3675,1.3693,1730.2157,0.6236,1035.5361
36.0100,0.1660,-82.3832,-0.3623,-424.8817,-0.2091,151.7627,-0.3876,24.3450
36.5101,0.9625,714.1757,0.0220,-40.6055,-0.5103,-149.4425,0.5903,1002.2578
37.0103,-1.1335,-1381.8426,0.7829,720.3236,0.3283,689.1651,0.1440,556.0105
37.5104,0.5834,335.0134,0.2433,180.6654,0.5332,894.0693,0.2089,620.8240
38.0106,0.2118,-36.5216,1.3280,1265.3644,0.0529,413.7475,0.2049,616.8781
38.5107,0.0146,-233.7912,0.3607,298.1162,0.8907,1251.5686,0.0889,500.9158
39.0108,0.2056,-42.7800,0.2557,193.1090,-0.5096,-148.7374,0.7556,1167.5182
39.5110,-0.8386,-1086.9434,0.0006,-61.9723,0.5017,862.5262,0.1133,525.3069
40.0111,0.0407,-207.6143,0.2173,154.7370,-0.1524,208.5171,-0.4092,2.7734
40.5113,0.3244,76.0427,0.0696,6.9963,1.0055,1366.4012,-0.0509,361.0463
41.0114,0.8799,631.5874,0.4951,432.4395,1.1373,1498.1239,0.2303,642.3126
41.5115,-0.1231,-371.4463,0.6144,551.7847,-0.2473,113.5863,0.7507,1162.6210
42.0117,-0.2733,-521.6099,-0.2620,-324.6130,-0.1438,217.0842,0.4325,844.5090
42.5118,-0.1250,-373.3884,-0.5398,-602.3815,0.5556,916.5099,-0.2994,112.5473
43.0119,0.5783,329.9551,-0.7975,-860.1039,-0.0730,287.9145,1.3632,1775.1738
43.5121,0.2797,31.3097,0.3693,306.6746,0.0926,453.4544,0.2477,659.6466
44.0122,-0.1550,-403.3440,-0.4418,-504.4024,0.1226,483.4562,0.7476,1159.5563
44.5124,0.3611,112.6995,-0.9720,-1034.6347,-0.8554,-494.5450,0.0286,440.5334
45.0125,0.1474,-100.9323,0.2932,230.5630,0.0920,452.8359,0.3656,777.5333
45.5126,0.5776,329.2538,1.3398,1277.1759,-0.2516,109.2933,0.5130,924.9904
46.0128,-0.2634,-511.7475,0.0846,21.9885,-0.1589,201.9435,0.6967,1108.7013
