# AffiLabs Cycle Autosave
# Timestamp,2025-12-16T23:32:02Z
# Cycle Start,179.082 s
# Cycle Stop,214.198 s
# Duration,35.116 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
179.0981,639.5707,0.0000,652.9810,0.0000,650.3771,0.0000,653.5848,0.0000
180.5383,639.5486,-7.8458,652.9777,-1.1758,650.3751,-0.7208,653.6059,7.4850
181.9781,639.5478,-8.1293,652.9764,-1.6196,650.3755,-0.5708,653.5985,4.8527
183.4179,639.5498,-7.4293,652.9744,-2.3382,650.3711,-2.1243,653.5989,5.0060
184.8582,639.5629,-2.7756,652.9744,-2.3434,650.3791,0.7017,653.5819,-1.0438
186.2978,639.5726,0.6732,652.9693,-4.1272,650.3714,-2.0281,653.6063,7.6130
187.7382,639.5603,-3.7016,652.9849,1.3795,650.3787,0.5597,653.5937,3.1470
189.1778,639.5409,-10.5688,652.9650,-5.6625,650.3722,-1.7355,653.5824,-0.8760
190.6175,639.5681,-0.9362,652.9780,-1.0649,650.3828,2.0188,653.5863,0.5161
192.0577,639.5635,-2.5522,652.9747,-2.2421,650.3703,-2.4141,653.5840,-0.3010
193.4977,639.5460,-8.7669,652.9830,0.7332,650.3884,4.0015,653.5840,-0.2919
194.9378,639.5674,-1.1715,652.9812,0.0893,650.3689,-2.9155,653.5975,4.4857
196.3775,639.5746,1.3846,652.9749,-2.1535,650.3705,-2.3306,653.5612,-8.4030
197.8176,639.5497,-7.4619,652.9699,-3.9167,650.3741,-1.0661,653.5889,1.4416
199.3180,639.5763,1.9880,652.9732,-2.7688,650.3643,-4.5235,653.6013,5.8392
200.7580,639.5698,-0.3368,652.9781,-1.0254,650.3742,-1.0264,653.5668,-6.4058
202.1977,639.5512,-6.9421,652.9805,-0.1757,650.3767,-0.1338,653.5718,-4.6398
203.6377,639.5565,-5.0444,652.9909,3.5320,650.3597,-6.1634,653.5684,-5.8282
205.0778,639.5508,-7.0731,652.9814,0.1586,650.3624,-5.2229,653.5619,-8.1437
206.5179,639.5683,-0.8471,652.9775,-1.2173,650.3715,-1.9715,653.5861,0.4499
207.9575,639.5551,-5.5541,652.9711,-3.5115,650.3667,-3.6771,653.5881,1.1505
210.2380,639.5441,-9.4305,652.9774,-1.2758,650.3732,-1.3849,653.5852,0.1159
214.1978,639.5664,-1.5125,652.9620,-6.7486,650.3738,-1.1822,653.5833,-0.5659
215.6376,639.5380,-11.6037,652.9711,-3.5112,650.3710,-2.1664,653.5867,0.6703
