# Time(s)	Position(deg)	Counts
0.0000	5.00	9074
0.0152	5.85	9128
0.0353	6.97	9097
0.0553	8.08	9227
0.0750	9.18	9064
0.0950	10.29	9160
0.1149	11.40	9220
0.1351	12.53	9199
0.1549	13.63	9158
0.1750	14.75	9189
0.1951	15.87	9103
0.2147	16.96	9164
0.2348	18.08	9153
0.2548	19.19	9087
0.2748	20.31	9066
0.2954	21.46	9108
0.3148	22.54	9162
0.3356	23.69	9149
0.3549	24.77	9160
0.3752	25.90	9168
0.3948	26.99	9166
0.4179	28.28	9126
0.4354	29.25	9168
0.4551	30.35	9114
0.4751	31.46	9158
0.4951	32.58	9083
0.5152	33.70	9212
0.5348	34.79	9103
0.5548	35.90	9191
0.5752	37.04	9099
0.5951	38.15	9087
0.6153	39.27	9108
0.6347	40.35	9059
0.6551	41.49	9141
0.6753	42.61	9060
0.6954	43.73	9059
0.7150	44.82	9208
0.7349	45.93	9137
0.7551	47.06	9051
0.7750	48.17	9143
0.7950	49.28	9108
0.8149	50.39	9082
0.8351	51.51	9151
0.8551	52.63	9155
0.8754	53.76	9062
0.8949	54.84	9034
0.9148	55.96	9168
0.9354	57.10	9158
0.9551	58.20	9076
0.9753	59.32	9204
0.9956	60.46	9108
1.0149	61.53	9089
1.0356	62.68	9085
1.0550	63.76	9128
1.0753	64.89	9126
1.0952	66.00	9101
1.1149	67.10	9166
1.1352	68.23	9156
1.1549	69.33	9191
1.1754	70.47	9243
1.1950	71.56	9057
1.2151	72.68	9133
1.2352	73.80	9158
1.2547	74.89	9126
1.2751	76.02	9080
1.2949	77.12	9041
1.3152	78.26	9080
1.3353	79.38	9035
1.3552	80.48	9062
1.3750	81.59	9131
1.3953	82.72	9068
1.4150	83.81	9118
1.4351	84.94	9099
1.4552	86.06	9070
1.4754	87.18	9059
1.4959	88.32	9091
1.5172	89.51	9093
1.5354	90.52	9101
1.5552	91.63	9082
1.5749	92.72	9041
1.5950	93.84	9049
1.6171	95.07	9085
1.6354	96.09	9091
1.6549	97.18	9082
1.6747	98.28	9118
1.6947	99.40	9099
1.7149	100.52	9131
1.7351	101.65	9068
1.7555	102.78	9133
1.7748	103.85	9039
1.7952	104.99	9110
1.8148	106.08	9035
1.8350	107.21	9112
1.8549	108.32	9047
1.8750	109.44	9060
1.8949	110.55	9087
1.9154	111.69	9133
1.9352	112.79	9149
1.9550	113.90	9085
1.9750	115.01	9035
1.9954	116.14	9107
2.0150	117.24	9082
2.0349	118.34	9035
2.0549	119.46	9124
2.0752	120.59	9082
2.0950	121.69	9039
2.1150	122.81	9070
2.1349	123.91	9030
2.1551	125.04	9162
2.1752	126.16	9034
2.1953	127.28	9060
2.2155	128.40	9107
2.2353	129.51	9068
2.2552	130.62	9068
2.2753	131.73	9072
2.2950	132.83	9070
2.3153	133.96	9022
2.3351	135.07	9082
2.3549	136.17	9062
2.3752	137.30	9032
2.3950	138.40	9093
2.4171	139.63	9181
2.4353	140.64	9097
2.4552	141.75	9083
2.4753	142.88	9101
2.4950	143.97	9064
2.5152	145.10	9035
2.5351	146.21	9045
2.5550	147.31	9024
2.5755	148.46	9118
2.5954	149.56	9047
2.6152	150.67	9064
2.6349	151.77	9091
2.6551	152.89	9030
2.6756	154.03	9070
2.6956	155.14	9082
2.7149	156.22	9070
2.7352	157.35	9103
2.7552	158.47	9060
2.7750	159.57	9124
2.7952	160.69	9068
2.8153	161.81	9039
2.8353	162.92	8995
2.8552	164.03	9076
2.8751	165.14	9053
2.8953	166.27	9137
2.9155	167.39	9155
2.9353	168.49	9024
2.9557	169.63	9203
2.9755	170.73	9043
2.9956	171.85	9051
3.0149	172.93	9074
3.0352	174.06	9097
