Time_A	Channel_A	Time_B	Channel_B	Time_C	Channel_C	Time_D	Channel_D
0.000	-0.527425	0.000	-3.588565	0.000	1.427403	0.000	0.240378
0.300	3.641689	0.300	1.546585	0.300	1.106657	0.300	-0.723681
0.601	5.405156	0.601	1.034997	0.601	0.475605	0.601	-2.562344
0.901	9.857332	0.901	8.002519	0.901	-1.414691	0.901	2.876517
1.201	10.759468	1.201	1.292699	1.201	0.065575	1.201	-2.804348
1.502	13.399743	1.502	3.342472	1.502	-0.845736	1.502	-4.519978
1.802	11.292727	1.802	7.578588	1.802	0.766528	1.802	-2.125430
2.102	19.463049	2.102	3.991532	2.102	-0.490493	2.102	-1.189660
2.402	15.451917	2.402	5.913377	2.402	1.019140	2.402	-2.356577
2.703	23.884064	2.703	4.108841	2.703	1.158647	2.703	-0.392554
3.003	18.298766	3.003	10.250680	3.003	0.772114	3.003	2.161625
3.303	26.153375	3.303	9.729577	3.303	0.666762	3.303	-2.978560
3.604	22.984915	3.604	9.551761	3.604	0.453350	3.604	2.092344
3.904	24.956069	3.904	5.955340	3.904	0.797693	3.904	-1.768578
4.204	34.074967	4.204	8.549306	4.204	-0.062477	4.204	1.974498
4.505	33.484897	4.505	13.296366	4.505	0.846277	4.505	-0.378930
4.805	36.889138	4.805	14.073045	4.805	0.793980	4.805	-0.988054
5.105	36.223730	5.105	10.388476	5.105	0.209714	5.105	1.347527
5.405	34.794603	5.405	14.567080	5.405	0.464561	5.405	-0.799883
5.706	36.441068	5.706	10.291795	5.706	0.995256	5.706	-0.817991
6.006	38.490473	6.006	18.995923	6.006	0.664812	6.006	1.615100
6.306	45.302006	6.306	16.280974	6.306	1.317160	6.306	-1.008288
6.607	38.657846	6.607	16.632436	6.607	1.150397	6.607	-0.812200
6.907	41.756927	6.907	14.909726	6.907	0.745600	6.907	-0.038747
7.207	42.034061	7.207	22.070421	7.207	1.141297	7.207	3.373329
7.508	49.710430	7.508	16.514243	7.508	1.682060	7.508	-0.172789
7.808	46.590075	7.808	12.909517	7.808	1.128406	7.808	2.303410
8.108	56.469522	8.108	17.354514	8.108	0.300872	8.108	-0.142522
8.408	49.792442	8.408	15.316643	8.408	1.644792	8.408	3.236121
8.709	51.013653	8.709	19.577695	8.709	0.924321	8.709	-2.609939
9.009	57.437466	9.009	17.405257	9.009	1.243157	9.009	0.662698
9.309	53.796410	9.309	22.940276	9.309	1.399412	9.309	1.835319
9.610	56.583085	9.610	19.393333	9.610	0.788353	9.610	1.569036
9.910	61.135417	9.910	24.145749	9.910	2.052534	9.910	1.247440
10.210	59.156637	10.210	23.267894	10.210	0.284541	10.210	1.533833
10.511	60.544155	10.511	23.903150	10.511	0.581186	10.511	-0.892746
10.811	59.710041	10.811	26.187145	10.811	1.310936	10.811	1.138625
11.111	62.163280	11.111	22.436535	11.111	0.734044	11.111	-1.924672
11.411	64.926449	11.411	30.098569	11.411	1.474089	11.411	0.386441
11.712	70.700420	11.712	22.459466	11.712	1.237024	11.712	-0.738105
12.012	65.917148	12.012	25.570780	12.012	1.340067	12.012	-1.512607
12.312	73.431432	12.312	25.257748	12.312	1.574635	12.312	3.086049
12.613	67.354460	12.613	24.153392	12.613	2.675854	12.613	0.472420
12.913	71.990140	12.913	28.186277	12.913	2.525176	12.913	0.035275
13.213	76.083493	13.213	33.677865	13.213	1.407179	13.213	-0.150905
13.514	73.123769	13.514	27.152291	13.514	2.166297	13.514	-0.812192
13.814	75.662006	13.814	31.274136	13.814	2.806378	13.814	-0.247850
14.114	80.463260	14.114	33.712525	14.114	1.938191	14.114	0.165117
14.414	79.764029	14.414	27.915141	14.414	1.619682	14.414	2.132032
14.715	72.475309	14.715	26.788039	14.715	1.944962	14.715	2.003206
15.015	76.311608	15.015	28.029367	15.015	2.059791	15.015	-1.674406
15.315	81.398612	15.315	33.174562	15.315	2.994046	15.315	-0.896036
15.616	78.151531	15.616	29.574312	15.616	2.255493	15.616	0.125839
15.916	78.260466	15.916	36.356608	15.916	1.856838	15.916	-1.065927
16.216	81.206507	16.216	32.098382	16.216	1.118315	16.216	-2.006307
16.517	87.628612	16.517	36.845607	16.517	1.397389	16.517	-0.263377
16.817	86.989170	16.817	37.163867	16.817	0.433713	16.817	-4.698794
17.117	85.678167	17.117	38.677192	17.117	3.916227	17.117	-0.060382
17.417	83.449534	17.417	36.930563	17.417	2.148413	17.417	1.251448
17.718	85.746971	17.718	33.400969	17.718	1.646998	17.718	-0.259593
18.018	87.312438	18.018	36.662933	18.018	2.119045	18.018	1.728616
18.318	90.213110	18.318	36.775024	18.318	3.301092	18.318	0.269427
18.619	88.713127	18.619	36.842036	18.619	3.061757	18.619	1.191331
18.919	88.379514	18.919	37.650159	18.919	0.718246	18.919	1.599231
19.219	88.834691	19.219	34.420395	19.219	1.700911	19.219	2.056159
19.520	87.547523	19.520	38.841425	19.520	2.663351	19.520	5.451705
19.820	96.919556	19.820	41.051252	19.820	3.227477	19.820	0.922096
20.120	92.264315	20.120	41.336908	20.120	3.224730	20.120	-2.748311
20.420	101.284030	20.420	39.233301	20.420	2.506040	20.420	4.231750
20.721	93.464374	20.721	38.415348	20.721	1.857463	20.721	2.146387
21.021	92.500545	21.021	47.275220	21.021	3.994952	21.021	0.756908
21.321	102.126536	21.321	43.859177	21.321	2.431977	21.321	-0.062845
21.622	100.013458	21.622	45.292590	21.622	4.156041	21.622	-1.579304
21.922	90.718306	21.922	43.765895	21.922	2.638514	21.922	0.074802
22.222	100.805261	22.222	47.645575	22.222	2.266268	22.222	0.636346
22.523	99.838009	22.523	42.182067	22.523	3.270370	22.523	-0.354898
22.823	97.776957	22.823	46.943993	22.823	3.600073	22.823	-0.159344
23.123	99.886828	23.123	46.817033	23.123	1.433211	23.123	2.771852
23.423	100.568854	23.423	43.581029	23.423	3.824973	23.423	-2.952266
23.724	100.502569	23.724	44.879505	23.724	2.731756	23.724	-0.335355
24.024	102.611193	24.024	44.908456	24.024	3.249094	24.024	2.294414
24.324	106.005927	24.324	43.025671	24.324	2.304284	24.324	0.692963
24.625	101.992599	24.625	47.664333	24.625	2.586705	24.625	4.127071
24.925	103.567245	24.925	50.013386	24.925	4.118991	24.925	0.433588
25.225	103.812413	25.225	42.756030	25.225	3.217134	25.225	-0.609852
25.526	108.749230	25.526	49.842175	25.526	3.205215	25.526	0.806213
25.826	102.723961	25.826	47.309620	25.826	3.187011	25.826	-0.481543
26.126	109.594276	26.126	47.342091	26.126	4.087245	26.126	-1.626903
26.426	104.942946	26.426	54.095850	26.426	3.379822	26.426	2.134278
26.727	110.636748	26.727	50.542790	26.727	3.001482	26.727	-0.000957
27.027	112.225204	27.027	46.786700	27.027	2.247613	27.027	-1.589888
27.327	115.698270	27.327	52.819722	27.327	3.593589	27.327	-0.933677
27.628	113.339551	27.628	49.343514	27.628	3.317957	27.628	-0.985168
27.928	114.711955	27.928	54.242458	27.928	3.661520	27.928	3.803635
28.228	107.459272	28.228	52.488326	28.228	3.372967	28.228	-0.211811
28.529	110.284447	28.529	50.347140	28.529	3.488665	28.529	0.842382
28.829	111.213068	28.829	51.683029	28.829	3.177052	28.829	-0.218776
29.129	110.420439	29.129	49.724282	29.129	4.020639	29.129	1.125551
29.429	112.753841	29.429	51.816827	29.429	5.193253	29.429	1.844984
29.730	112.567483	29.730	51.263226	29.730	3.875597	29.730	2.379897
30.030	113.987106	30.030	56.483950	30.030	3.731551	30.030	-0.713054
30.330	116.075107	30.330	56.417732	30.330	4.348839	30.330	-0.416273
