# AffiLabs Cycle Autosave
# Timestamp,2025-11-26T18:48:32.044849
# Cycle Start,9.643 s
# Cycle Stop,24.346 s
# Duration,14.702 s
# Filter Enabled,True
# Filter Strength,1
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
10.0794,649.0325,0.0000,645.6371,0.0000,646.8747,0.0000,654.4610,0.0000
10.0794,649.9286,896.0482,645.6371,0.0000,646.5864,-288.2603,655.7738,1312.8153
10.8451,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
10.8451,649.9286,896.0482,645.7325,95.4323,646.3395,-535.1366,656.5546,2093.6107
11.6560,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
11.6560,649.9238,891.2133,645.7325,95.4323,645.4492,-1425.4482,656.5546,2093.6107
12.4218,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
12.4218,649.4910,458.4854,646.0102,373.0969,646.2563,-618.3530,656.6312,2170.1792
13.2004,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
13.2004,648.4176,-614.9460,646.0102,373.0969,646.3395,-535.1366,656.6312,2170.1792
14.0847,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
14.0847,648.1848,-847.7527,646.1859,548.7756,646.3395,-535.1366,656.6808,2219.7762
15.0525,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
15.0525,648.1391,-893.4089,646.5883,951.2253,646.3387,-536.0113,657.2341,2773.1252
15.9994,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
15.9994,648.5269,-505.6859,646.5883,951.2253,646.3387,-536.0113,657.2997,2838.6926
16.8758,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
16.8758,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
17.7383,650.3287,1296.1804,646.9381,1300.9704,646.3395,-535.1366,657.2997,2838.6926
17.7383,649.0242,-8.3307,645.9322,295.1370,646.3122,-562.4256,657.2997,2838.6926
18.5408,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.2997,2838.6926
19.5889,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
20.4753,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
21.3347,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
22.2324,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
23.1308,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
23.9525,649.0242,-8.3307,645.5416,-95.5405,646.3122,-562.4256,657.1436,2682.6541
,,,,,,,657.1436,2682.6541
