# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
4.4085,646.4550,0.0000,642.7403,0.0000,643.1217,0.0000,654.5423,0.0000
5.9217,646.4603,5.2748,642.7082,-32.0680,643.1009,-20.8127,654.5486,6.2927
7.4820,646.4687,13.6681,642.7056,-34.6528,643.0940,-27.6403,654.4899,-52.4315
9.2107,646.4642,9.1578,642.6913,-49.0113,643.1078,-13.8567,654.4277,-114.5858
11.2363,646.4659,10.8976,642.7422,1.9070,643.1081,-13.5833,654.5324,-9.8841
12.9969,646.4782,23.1810,642.7252,-15.0879,643.1143,-7.3420,654.5144,-27.8860
14.8349,646.4754,20.4028,642.7293,-11.0174,643.0977,-23.9497,654.5386,-3.7137
16.7224,646.4062,-48.8842,642.7448,4.5225,643.1104,-11.2462,654.5227,-19.6510
18.8498,646.4539,-1.0962,642.7368,-3.5267,643.1097,-12.0052,654.5574,15.1096
20.4754,646.4421,-12.9601,642.7044,-35.8826,643.1109,-10.8065,654.4797,-62.6009
22.2029,646.4424,-12.6101,642.7130,-27.3274,643.0976,-24.1370,654.5326,-9.7089
23.8804,646.4320,-23.0543,642.6928,-47.5004,643.1216,-0.0956,654.5202,-22.1653
25.6496,646.4996,44.5340,642.7347,-5.6191,643.0779,-43.7477,654.5601,17.7635
27.3861,646.4696,14.5729,642.7135,-26.8051,643.0784,-43.3022,654.5665,24.1619
29.1592,646.4823,27.3012,642.7385,-1.7616,643.1114,-10.2465,654.5417,-0.5784
30.8547,646.4699,14.8493,642.7227,-17.5774,643.1200,-1.7173,654.5535,11.1617
32.5351,646.4887,33.6413,642.7366,-3.6592,643.1256,3.8787,654.5618,19.4930
34.2936,646.4763,21.2626,642.7103,-30.0085,643.1151,-6.6157,654.5344,-7.8791
35.9486,646.4853,30.2847,642.7378,-2.5356,643.1051,-16.6323,654.5203,-22.0273
37.5765,646.4789,23.8563,642.7396,-0.6799,643.1272,5.5568,654.5175,-24.7851
39.2408,646.4860,30.9825,642.7251,-15.2225,643.0984,-23.3240,654.5592,16.8321
40.9518,646.4731,18.0254,642.7543,14.0438,643.1031,-18.6195,654.5310,-11.3193
42.7064,646.4777,22.6858,642.7220,-18.3051,643.1006,-21.0838,654.5542,11.8706
46.5029,646.4972,42.1158,642.7330,-7.2558,643.1444,22.6802,654.5672,24.9104
49.2271,646.4775,22.4173,642.7532,12.9348,643.1503,28.5794,654.5559,13.5690
51.7986,646.4083,-46.7256,642.7374,-2.8462,643.1440,22.2916,654.5681,25.8093
53.6848,646.4696,14.5917,642.7510,10.6910,643.0920,-29.7095,654.5495,7.1564
55.4382,646.4747,19.6445,642.7365,-3.7577,643.1148,-6.9100,654.5762,33.8732
57.3070,646.4977,42.6458,642.7154,-24.8855,643.1196,-2.1206,654.5491,6.7943
58.8229,646.4609,5.8279,642.7148,-25.5241,643.1047,-17.0086,654.5447,2.3732
60.3926,646.4799,24.8428,642.7352,-5.0519,643.1315,9.7878,654.5334,-8.9544
61.8856,646.4694,14.3918,642.7197,-20.6124,643.1090,-12.6592,654.5548,12.4766
63.4493,646.4749,19.8300,642.7386,-1.6885,643.1267,5.0537,654.4948,-47.4850
65.0328,646.4987,43.6755,642.6908,-49.5273,643.1133,-8.3631,654.4406,-101.7527
66.7345,646.4928,37.7091,642.7160,-24.3101,643.1093,-12.4078,654.5617,19.4016
68.4709,646.4914,36.3575,642.7428,2.5509,643.1133,-8.4126,654.5552,12.8903
70.0195,646.4667,11.6890,642.7282,-12.0452,643.1241,2.4212,654.5606,18.2482
71.6433,646.4818,26.7479,642.7119,-28.4339,643.1375,15.7617,654.5834,41.0550
73.1603,646.4819,26.8396,642.7399,-0.3768,643.1126,-9.1215,654.5474,5.1105
74.6590,646.4934,38.3278,642.7434,3.1040,643.1164,-5.3279,654.5100,-32.2762
76.5439,646.4810,25.9337,642.7324,-7.9143,643.1112,-10.4656,654.5638,21.4991
78.1642,646.4889,33.8717,642.7296,-10.6429,643.0897,-32.0078,654.5460,3.6820
79.6950,646.4714,16.3366,642.7340,-6.2615,643.1222,0.5150,654.5427,0.3971
81.1918,646.4871,32.0284,642.7280,-12.2802,643.1353,13.6215,654.5610,18.6734
82.7083,646.4851,30.0353,642.7541,13.8388,643.1154,-6.3000,654.5585,16.2129
84.4815,646.4875,32.4593,642.7442,3.8866,643.1297,7.9963,654.5915,49.2201
86.1549,646.5064,51.3259,642.7510,10.7584,643.1234,1.7262,654.5354,-6.9451
87.7039,646.5182,63.1825,642.7372,-3.1007,643.1323,10.6354,654.5279,-14.4089
89.1601,646.4909,35.8617,642.7350,-5.2755,643.0915,-30.1533,654.5656,23.3211
90.6343,646.4947,39.6227,642.7393,-0.9406,643.1272,5.4946,654.5419,-0.3863
92.6089,646.4583,3.2157,642.7483,8.0212,643.1171,-4.6317,654.5767,34.3911
94.1299,646.4763,21.2590,642.7303,-10.0109,643.0642,-57.4840,654.4880,-54.3621
95.5781,646.4918,36.7529,642.7398,-0.4792,643.1064,-15.3372,654.5830,40.6787
97.0809,646.4840,28.9956,642.7497,9.4449,643.1321,10.3624,654.5527,10.3566
98.5536,646.4923,37.2484,642.7379,-2.4364,643.1275,5.8069,654.5305,-11.7817
100.1266,646.4597,4.6607,642.7455,5.2162,643.1228,1.0970,654.5164,-25.8749
101.6081,646.4933,38.2274,642.7400,-0.2583,643.1327,11.0281,654.5477,5.3650
103.0675,646.4878,32.7495,642.7337,-6.5954,643.1051,-16.5927,654.5703,28.0095
104.4890,646.4939,38.8968,642.7371,-3.1842,643.0977,-24.0264,654.5538,11.5089
105.9499,646.4803,25.2349,642.7300,-10.3120,643.1147,-6.9810,654.5166,-25.6745
107.4135,646.4808,25.7845,642.7446,4.3381,643.1280,6.2648,654.5563,13.9543
